X,Y,Z,S,R,G,B
79.105,3.3884,-9.499,3.9215,1,0.95686,0.9098
95.573,4.195,100.42,1.7997,0.75294,0.81961,1
90.248,4.0094,190.65,1.4889,1,0.84314,0.68235
303.8,13.816,-32.177,1.1727,1,0.84314,0.68235
218.13,10.107,-190.61,1.3591,1,0.84314,0.68235
63.513,2.9709,-14.189,1.7705,1,0.84314,0.68235
215.19,10.15,267.73,0.47946,1,0.84314,0.68235
25.357,1.2262,-2.5715,8.8259,1,0.73333,0.48235
18.183,0.89449,-5.0376,3.5089,0.98431,0.97255,1
31.012,1.5594,-36.523,5.5666,1,0.95686,0.9098
123.49,6.2522,82.401,2.8301,0.75294,0.81961,1
68.669,3.5497,37.215,3.0444,0.98431,0.97255,1
101.01,5.3442,110.36,1.4839,1,0.84314,0.68235
491.06,26.528,-75.338,0.39598,1,0.95686,0.9098
346.56,19.671,195.54,0.38837,1,0.84314,0.68235
84.34,4.8257,31.066,3.9786,0.98431,0.97255,1
110.1,6.444,56.163,0.77706,1,0.95686,0.9098
96.491,5.7394,104.36,2.2148,0.75294,0.81961,1
141.57,8.5082,-60.83,0.91788,1,0.84314,0.68235
311.91,19.17,-0.18183,1.1257,0.75294,0.81961,1
136.31,8.4807,197.12,0.80068,1,0.84314,0.68235
100.67,6.3308,96.884,2.4415,0.98431,0.97255,1
183.87,11.802,232.6,0.73815,0.75294,0.81961,1
101.7,6.7568,-263.46,1.455,1,0.73333,0.48235
80.304,5.3896,43.859,2.5191,0.98431,0.97255,1
152.71,10.479,-19.626,2.9879,0.98431,0.97255,1
459.22,31.831,21.727,0.082299,0.75294,0.81961,1
16.073,1.1263,-18.058,9.6608,1,0.73333,0.48235
18.797,1.3339,6.8075,10.281,1,0.73333,0.48235
70.985,5.1267,-165.18,1.4654,1,0.84314,0.68235
96.805,7.0922,24.051,2.46,0.75294,0.81961,1
136.18,10.175,-3.9408,2.7026,1,0.95686,0.9098
254.26,19.188,-19.839,1.7909,1,0.84314,0.68235
35.153,2.675,-81.341,3.5615,0.98431,0.97255,1
19.777,1.5224,-41.361,7.9923,1,0.84314,0.68235
184.19,14.339,-6.0084,0.76599,1,0.95686,0.9098
189.97,14.901,-92.598,1.5397,1,0.84314,0.68235
91.711,7.2994,119.52,2.2076,1,0.95686,0.9098
220.4,17.644,-7.7782,0.48569,1,0.84314,0.68235
96.821,7.8133,38.219,3.7268,0.98431,0.97255,1
76.433,6.2432,75.703,1.8877,0.75294,0.81961,1
91.776,7.5453,233.77,1.2994,1,0.84314,0.68235
51.587,4.3066,-243.31,0.82113,0.98431,0.97255,1
27.678,2.3343,-10.06,10.108,1,0.84314,0.68235
234.67,19.902,85.716,0.68486,1,0.84314,0.68235
24.425,2.0949,-64.208,4.5643,1,0.95686,0.9098
305.15,26.511,-29.227,1.3794,1,0.84314,0.68235
3.6341,0.31845,-7.7797,4.5594,0.98431,0.97255,1
43.195,3.8373,-27.914,4.9379,1,0.95686,0.9098
235.66,21.141,45.639,0.12024,1,0.84314,0.68235
94.226,8.5439,-290.81,0.87274,1,0.84314,0.68235
21.313,1.9424,-0.3254,7.6475,0.75294,0.81961,1
12.016,1.1016,29.374,5.4009,1,0.95686,0.9098
78.893,7.3251,-4.5851,2.8619,0.98431,0.97255,1
111.55,10.54,-32.569,3.3049,0.98431,0.97255,1
175.99,16.835,282.58,0.30561,0.75294,0.81961,1
54.25,5.2406,-27.423,5.0029,1,0.95686,0.9098
83.706,8.166,65.146,2.3656,1,0.95686,0.9098
161.84,15.886,38.988,0.13351,1,0.84314,0.68235
58.677,5.8566,-48.2,2.3413,0.98431,0.97255,1
37.279,3.7541,15.424,4.5317,0.98431,0.97255,1
166.17,16.886,-100.5,0.10059,0.66667,0.74902,1
47.49,4.9136,-3.1405,7.2607,0.39216,0.39216,0.39216
50.028,5.245,-12.865,5.1433,1,0.95686,0.9098
60.944,6.4591,-86.13,2.4695,0.98431,0.97255,1
160.9,17.119,336.22,0.75067,0.66667,0.74902,1
204.33,22.149,75.094,1.1696,1,0.84314,0.68235
62.792,6.9069,-137.97,2.6944,0.98431,0.97255,1
1.6387,0.1842,-7.2908,3.452,1,0.95686,0.9098
84.428,9.7334,9.0741,3.2109,0.98431,0.97255,1
82.362,9.6079,-20.72,3.9209,0.98431,0.97255,1
409.03,48.21,73.726,0.20199,1,0.84314,0.68235
53.575,6.3718,-7.4635,4.4094,1,0.95686,0.9098
85.592,10.223,-51.87,3.6669,0.98431,0.97255,1
123.92,14.951,35.853,0.87245,0.75294,0.81961,1
70.331,8.5333,-20.864,2.8581,0.98431,0.97255,1
95.404,11.66,118.32,3.0145,0.98431,0.97255,1
70.254,8.729,-149.97,1.6316,0.75294,0.81961,1
61.364,7.6847,-12.287,2.8615,0.98431,0.97255,1
241.12,30.509,-111.46,0.004358,0.75294,0.81961,1
114.7,14.664,23.148,2.732,0.98431,0.97255,1
226.38,29.121,-22.517,1.6974,1,0.84314,0.68235
42.752,5.5287,-8.3926,6.1268,1,0.95686,0.9098
190.47,24.78,-9.5294,0.47002,1,0.84314,0.68235
40.573,5.317,-10.861,3.0164,0.98431,0.97255,1
249.04,33.124,71.071,0.31599,1,0.84314,0.68235
106.34,14.231,-88.501,0.88364,1,0.84314,0.68235
81.97,11.032,-117.99,1.7468,0.75294,0.81961,1
8.7734,1.1902,38.409,3.2016,1,0.84314,0.68235
136.97,18.855,112.01,2.2387,0.75294,0.81961,1
287.88,39.846,112.2,0.012525,1,0.84314,0.68235
123.64,17.28,93.962,2.1409,1,0.95686,0.9098
11.534,1.6336,-22.953,7.597,1,0.73333,0.48235
3.8795,0.55294,9.3387,10.242,1,0.73333,0.48235
72.233,10.392,-59.786,3.6365,1,0.95686,0.9098
108.88,15.753,31.895,1.6051,0.98431,0.97255,1
47.785,7.0109,-142.41,0.22411,0.75294,0.81961,1
300.96,44.414,71.469,1.2557,1,0.84314,0.68235
178.56,26.609,10.472,1.1836,1,0.95686,0.9098
129.52,19.458,80.717,1.8446,0.98431,0.97255,1
67.642,10.234,159.24,0.27588,0.66667,0.74902,1
184.23,28.06,-27.178,2.0955,0.98431,0.97255,1
117.99,18.12,28.375,0.94579,1,0.84314,0.68235
37.724,5.8198,172.19,2.0779,0.75294,0.81961,1
134.16,20.796,201.91,1.4792,0.75294,0.81961,1
315.67,49.175,-148.05,0.26659,1,0.84314,0.68235
22.147,3.4651,-18.641,5.1265,1,0.95686,0.9098
23.942,3.7583,-26.916,2.7153,0.98431,0.97255,1
59.169,9.3973,85.081,2.7736,0.75294,0.81961,1
99.745,15.927,-79.755,2.8221,1,0.95686,0.9098
331.62,53.186,135.92,0.47455,0.75294,0.81961,1
286.27,46.533,118.97,1.399,1,0.95686,0.9098
21.84,3.5711,-266.46,0.93436,1,0.84314,0.68235
57.63,9.4695,-263.14,1.5869,0.98431,0.97255,1
21.865,3.6108,258.12,0.88294,1,0.84314,0.68235
136.08,22.561,-65.973,2.6279,0.98431,0.97255,1
229.45,38.312,261.03,0.71183,0.75294,0.81961,1
3.6901,0.62158,40.149,4.0823,0.98431,0.97255,1
55.066,9.3277,-57.636,2.8876,0.98431,0.97255,1
56.427,9.5953,-25.005,3.132,0.98431,0.97255,1
141.01,24.065,-167.49,2.1353,1,0.84314,0.68235
344.76,59.681,-187.21,0.677,1,0.84314,0.68235
31.719,5.5497,6.0577,7.9229,1,0.84314,0.68235
60.115,10.564,120.98,2.0603,0.98431,0.97255,1
104.49,18.44,-85.756,2.3555,0.75294,0.81961,1
54.956,9.7696,28.032,4.182,0.98431,0.97255,1
155.57,27.771,116.72,1.5436,0.75294,0.81961,1
12.985,2.3374,11.145,6.1734,1,0.84314,0.68235
296.5,53.533,-246.23,0.27967,1,0.84314,0.68235
448.43,82.053,-102.66,0.51207,1,0.95686,0.9098
126.64,23.243,59.029,0.30402,0.75294,0.81961,1
36.583,6.7841,31.989,3.576,0.98431,0.97255,1
50.114,9.3246,-2.7214,4.8502,1,0.95686,0.9098
16.596,3.1112,-36.996,2.3338,0.98431,0.97255,1
51.749,9.7314,-15.801,5.1692,1,0.95686,0.9098
35.502,6.6912,-63.242,1.6784,1,0.84314,0.68235
105.47,20.034,17.039,3.4389,1,0.95686,0.9098
103.02,19.696,-105.56,1.1168,1,0.84314,0.68235
70.217,13.472,84.89,2.9236,0.98431,0.97255,1
57.889,11.203,-45.199,3.2752,0.98431,0.97255,1
4.5743,0.89649,-64.895,4.2134,0.98431,0.97255,1
25.728,5.0617,-76.887,3.5813,0.98431,0.97255,1
360.83,71.708,-266.96,0.38211,1,0.84314,0.68235
116.5,23.464,-111.37,2.4208,0.98431,0.97255,1
146.04,29.544,-3.0815,3.0636,0.98431,0.97255,1
109.42,22.24,-66.322,2.2625,0.98431,0.97255,1
137.66,28.175,-16.174,2.8071,0.98431,0.97255,1
16.67,3.4299,-162.24,2.4673,1,0.95686,0.9098
14.027,2.8945,37.955,3.3491,0.98431,0.97255,1
240.14,49.914,-48.4,1.0003,1,0.95686,0.9098
266.79,56.18,93.353,0.37165,0.75294,0.81961,1
209.37,44.268,109.49,1.1855,1,0.84314,0.68235
78.792,16.731,-13.258,3.1707,0.98431,0.97255,1
52.512,11.176,-25.126,5.0256,1,0.95686,0.9098
25.033,5.346,-2.3003,10,0.39216,0.39216,0.39216
147.47,31.697,-74.773,1.9189,1,0.95686,0.9098
72.389,15.664,-83.991,2.9043,0.98431,0.97255,1
136.48,29.652,-110.25,2.7187,0.98431,0.97255,1
4.2862,0.93363,0.4143,14.15,0.39216,0.39216,0.39216
288.77,63.086,-115.81,1.0216,0.39216,0.39216,0.39216
41.153,9.0407,33.162,4.3734,0.98431,0.97255,1
201.91,44.529,121.48,1.7907,1,0.95686,0.9098
52.338,11.616,182.02,2.4491,0.75294,0.81961,1
301.86,67.3,-87.974,0.2838,1,0.84314,0.68235
141.84,31.788,-13.521,2.1485,0.98431,0.97255,1
97.958,22.016,-0.14057,3.5213,1,0.95686,0.9098
90.857,20.528,13.167,3.2527,0.98431,0.97255,1
85.553,19.471,-20.441,3.9666,1,0.95686,0.9098
33.883,7.7361,-33.085,6.3045,1,0.84314,0.68235
84.574,19.363,19.688,1.9538,0.98431,0.97255,1
7.728,1.778,39.419,5.4284,1,0.95686,0.9098
26.62,6.1647,3.2597,9.6019,1,0.84314,0.68235
63.982,14.928,-25.215,3.603,1,0.95686,0.9098
175.55,41.078,284.36,0.94378,1,0.84314,0.68235
159.39,37.359,-55.021,2.5534,1,0.95686,0.9098
55.059,12.967,-102.37,2.5398,0.98431,0.97255,1
161.54,38.152,-153.74,1.8571,1,0.84314,0.68235
116.8,27.677,8.5751,1.798,0.98431,0.97255,1
103.48,24.595,-131.6,2.3479,0.98431,0.97255,1
256.3,61.306,353.01,0.29013,0.66667,0.74902,1
172.3,41.322,-249.25,0.17274,1,0.84314,0.68235
41.132,9.8939,96.996,1.9272,0.98431,0.97255,1
400.11,97.277,-161.98,0.45054,1,0.84314,0.68235
26.14,6.3953,12.038,5.0623,1,0.95686,0.9098
70.398,17.264,31.391,3.1022,0.98431,0.97255,1
139.9,34.481,85.422,1.6899,0.75294,0.81961,1
206.22,51.082,252.56,0.82721,1,0.84314,0.68235
165.16,41.049,-53.034,2.0748,1,0.84314,0.68235
31.36,7.9159,54.217,0.61878,1,0.95686,0.9098
257.23,65.029,84.81,1.1655,0.75294,0.81961,1
20.975,5.3189,55.719,2.5075,0.98431,0.97255,1
107.21,27.317,40.002,3.0771,0.98431,0.97255,1
52.583,13.428,25.645,4.5784,0.98431,0.97255,1
60.552,15.506,-71.256,3.3663,0.98431,0.97255,1
82.362,21.149,57.723,3.6006,0.98431,0.97255,1
36.526,9.43,145.8,1.6008,0.75294,0.81961,1
59.825,15.478,36.13,4.286,1,0.95686,0.9098
72.788,18.894,-159.53,2.2579,0.98431,0.97255,1
118.25,30.754,47.894,0.87977,0.75294,0.81961,1
216.97,56.646,65.63,0.99722,1,0.84314,0.68235
91.626,24.008,-19.064,0.6947,1,0.95686,0.9098
119.02,31.352,99.434,2.5836,0.98431,0.97255,1
76.714,20.319,-0.93432,3.1519,0.98431,0.97255,1
74.177,19.693,248.14,1.8573,0.75294,0.81961,1
205.44,54.762,-16.067,1.0459,1,0.84314,0.68235
356.33,95.298,-33.465,1.0068,1,0.95686,0.9098
269.06,72.306,348.82,0.44124,0.66667,0.74902,1
129.13,34.821,-205.39,0.9633,1,0.84314,0.68235
113.18,30.604,90.918,1.3533,0.75294,0.81961,1
76.361,20.699,-103.42,1.7668,0.98431,0.97255,1
84.791,23.055,7.4311,3.0131,0.98431,0.97255,1
84.442,23.064,153.83,1.8702,0.98431,0.97255,1
104.08,28.531,109.64,0.92457,1,0.95686,0.9098
47.712,13.168,-51.642,3.6675,0.98431,0.97255,1
224.87,62.171,-311.4,0.43967,1,0.84314,0.68235
59.23,16.434,-94.661,0.85717,1,0.95686,0.9098
2.4656,0.68937,7.7325,10.425,1,0.73333,0.48235
4.4944,1.2598,8.9075,9.5478,1,0.84314,0.68235
137.86,38.739,157.37,1.3805,0.75294,0.81961,1
299.17,84.201,-236.63,0.4412,1,0.95686,0.9098
167.66,47.281,297.59,0.92199,1,0.84314,0.68235
461.58,130.58,-88.562,0.30877,1,0.95686,0.9098
228.74,64.927,81.192,0.68942,1,0.95686,0.9098
52.992,15.088,-44.815,4.603,1,0.95686,0.9098
34.996,10.081,50.505,2.8687,1,0.95686,0.9098
67.425,19.464,81.316,2.8147,0.98431,0.97255,1
133.18,38.524,54.674,2.9236,1,0.95686,0.9098
29.889,8.6653,-25.641,4.6923,1,0.95686,0.9098
474.71,137.98,-218.64,0.31586,1,0.84314,0.68235
71.293,20.824,-225.03,0.49656,1,0.84314,0.68235
139.94,41.049,36.654,2.9341,1,0.84314,0.68235
70.883,20.836,-335.61,0.27946,0.75294,0.81961,1
137.64,40.575,10.534,1.5099,1,0.84314,0.68235
98.36,29.081,230.06,0.25395,0.66667,0.74902,1
93.122,27.756,-106.4,2.0068,0.75294,0.81961,1
107.08,31.973,39.368,2.6017,0.98431,0.97255,1
105.87,31.713,17.245,2.4567,0.75294,0.81961,1
36.415,10.933,-259,0.50032,1,0.84314,0.68235
50.92,15.325,81.682,1.4657,1,0.84314,0.68235
48.031,14.497,79.893,4.0165,1,0.95686,0.9098
163.01,49.255,168.03,0.58588,1,0.84314,0.68235
326.94,99.545,112.22,1.0902,1,0.84314,0.68235
132.16,40.346,263.6,1.1917,0.66667,0.74902,1
68.588,21.064,124.96,2.4568,1,0.84314,0.68235
102.9,31.697,34.267,3.0247,0.98431,0.97255,1
80.222,24.787,239.52,0.45748,0.75294,0.81961,1
123.34,38.35,-302.53,0.34437,1,0.84314,0.68235
87.486,27.325,38.734,2.5608,0.98431,0.97255,1
72.108,22.593,62.916,3.4566,0.98431,0.97255,1
111.04,34.916,41.584,0.10974,1,0.95686,0.9098
269.86,85.144,169.84,1.0472,1,0.95686,0.9098
168.71,53.33,330.1,0.42256,0.66667,0.74902,1
137.53,43.615,196.65,1.3439,1,0.95686,0.9098
111.56,35.559,-9.9191,1.9696,0.98431,0.97255,1
136.1,43.578,-28.772,2.3816,0.98431,0.97255,1
88.877,28.541,-2.0764,3.4989,0.98431,0.97255,1
147.45,47.544,230.56,1.4715,0.66667,0.74902,1
259.66,83.956,114.28,0.21458,0.98431,0.97255,1
357.6,115.94,-2.9216,0.49441,1,0.95686,0.9098
16.32,5.3162,-59.493,3.2109,0.98431,0.97255,1
205.17,67.069,189.69,1.3279,0.75294,0.81961,1
52.652,17.253,-20.67,3.7707,0.98431,0.97255,1
113.93,37.455,-14.265,1.1802,1,0.95686,0.9098
113.87,37.548,185.93,1.5757,1,0.84314,0.68235
38.673,12.803,-117.52,2.5163,1,0.84314,0.68235
38.624,12.819,-33.595,3.648,0.98431,0.97255,1
86.432,28.861,8.1997,2.8831,0.98431,0.97255,1
189.51,63.483,-7.3785,1.5449,0.98431,0.97255,1
150.99,50.775,-192.67,0.3503,1,0.84314,0.68235
9.1789,3.0965,-13.305,10.078,1,0.73333,0.48235
126.74,42.868,10.758,2.8608,0.98431,0.97255,1
85.164,28.913,-156.5,2.2875,0.75294,0.81961,1
249.52,84.992,-108.09,0.78654,1,0.95686,0.9098
139.1,47.554,-228.54,1.5492,1,0.84314,0.68235
45.869,15.724,33.608,3.7758,1,0.95686,0.9098
78.909,27.102,243.85,1.1842,0.75294,0.81961,1
246.8,85.117,-177.08,0.9053,0.75294,0.81961,1
305.65,105.58,97.802,0.036459,1,0.84314,0.68235
21.597,7.4874,-54.998,3.0353,0.98431,0.97255,1
59.076,20.607,7.4736,4.9829,1,0.95686,0.9098
89.743,31.377,54.873,2.6376,0.98431,0.97255,1
48.632,17.054,-35.637,4.2152,0.98431,0.97255,1
34.149,11.991,-66.88,4.3046,1,0.95686,0.9098
164.03,57.759,17.923,1.447,1,0.95686,0.9098
67.359,23.772,108.46,1.1125,1,0.84314,0.68235
87.293,30.888,49.127,3.7377,0.98431,0.97255,1
148.29,52.62,78.283,1.8456,0.75294,0.81961,1
167.55,59.612,87.102,2.2765,1,0.84314,0.68235
135.93,48.586,82.749,2.8044,0.75294,0.81961,1
207.62,74.444,146.08,0.48746,0.75294,0.81961,1
248.72,89.315,146.41,1.0991,1,0.84314,0.68235
34.501,12.433,68.092,3.978,0.98431,0.97255,1
145.25,52.457,231.82,1.2155,1,0.73333,0.48235
380.55,137.66,53.211,0.36583,1,0.95686,0.9098
91.176,33.057,-295.03,1.2993,1,0.95686,0.9098
45.967,16.722,-13.854,3.169,1,0.95686,0.9098
120.13,43.806,123.28,1.8825,1,0.95686,0.9098
100.77,36.826,101.85,1.2097,1,0.84314,0.68235
145.1,53.298,-38.226,0.8298,1,0.84314,0.68235
100.37,36.962,192.55,0.83528,0.75294,0.81961,1
23.022,8.5462,14.955,6.1666,1,0.84314,0.68235
175.18,65.232,-11.226,1.9777,1,0.95686,0.9098
103.75,38.725,16.648,3.4743,0.98431,0.97255,1
31.172,11.661,171.63,1.007,1,0.84314,0.68235
115.12,43.151,75.948,1.5005,1,0.84314,0.68235
116.37,43.723,37.593,1.4425,1,0.84314,0.68235
230.73,86.795,-83.954,1.6017,1,0.84314,0.68235
65.888,24.87,-52.296,1.9945,1,0.84314,0.68235
94.157,35.62,-38.113,3.1601,0.98431,0.97255,1
92.204,34.985,15.951,2.4322,0.98431,0.97255,1
144.53,54.962,-102.53,0.45794,1,0.84314,0.68235
169.11,64.52,-248.83,0.87942,1,0.95686,0.9098
176.08,67.396,21.478,1.9791,0.75294,0.81961,1
39.634,15.254,-26.343,3.3562,0.98431,0.97255,1
21.904,8.449,-22.779,9.4365,0.39216,0.39216,0.39216
111.5,43.202,87.084,2.0097,1,0.95686,0.9098
147.19,57.116,-146.02,2.2773,1,0.73333,0.48235
87.621,34.096,-96.05,3.2679,1,0.84314,0.68235
33.852,13.191,-0.67157,6.6782,1,0.84314,0.68235
58.513,22.852,-106.64,1.6071,0.98431,0.97255,1
234.5,91.843,359.09,0.50967,0.75294,0.81961,1
47.554,18.655,2.6521,3.4457,0.98431,0.97255,1
20.522,8.0769,54.946,0.85815,1,0.84314,0.68235
22.906,9.0521,8.5635,3.2688,0.98431,0.97255,1
211.28,83.738,-132.67,0.35892,1,0.84314,0.68235
292.6,116.36,47.642,1.1946,1,0.84314,0.68235
148.35,59.107,9.8672,0.5694,0.66667,0.74902,1
251.36,100.33,186.98,0.49437,1,0.95686,0.9098
46.889,18.747,-76.093,3.8771,0.98431,0.97255,1
197.5,79.218,23.928,2.0666,0.98431,0.97255,1
219.36,88.279,-192.45,0.81937,1,0.84314,0.68235
41.003,16.537,-228.32,1.1373,1,0.84314,0.68235
425.48,172.03,-165.3,0.25877,1,0.84314,0.68235
93.463,37.889,-21.89,1.8416,0.98431,0.97255,1
53.459,21.788,-144.15,1.5344,1,0.84314,0.68235
14.604,5.9765,55.782,3.4239,1,0.95686,0.9098
58.386,24.066,-25.041,0.94954,0.75294,0.81961,1
61.987,25.681,-23.897,4.1368,1,0.95686,0.9098
114.17,47.371,67.101,2.3693,0.75294,0.81961,1
95.303,39.876,130.08,2.838,1,0.84314,0.68235
134.12,56.24,-12.621,1.2285,1,0.84314,0.68235
313.88,131.87,279.56,0.48013,1,0.84314,0.68235
47.379,19.935,-61.051,2.8498,0.98431,0.97255,1
61.425,25.913,-65.871,3.0008,0.98431,0.97255,1
109.74,46.463,-10.34,3.531,1,0.95686,0.9098
45.61,19.348,-60.248,3.5994,0.98431,0.97255,1
173.75,73.934,-153.44,1.7592,1,0.84314,0.68235
15.125,6.4547,-6.6118,9.9172,0.39216,0.39216,0.39216
195.99,83.753,-242.14,1.1668,1,0.95686,0.9098
279.7,119.83,71.155,0.52575,1,0.84314,0.68235
43.534,18.752,-266.83,0.045132,0.75294,0.81961,1
27.847,12.01,13.486,5.025,1,0.95686,0.9098
27.449,11.865,-86.201,3.0291,0.98431,0.97255,1
61.551,26.67,-14.519,4.3273,1,0.95686,0.9098
220.86,95.887,-235.36,0.97378,1,0.84314,0.68235
98.05,42.632,-173.35,1.7254,1,0.84314,0.68235
92.211,40.193,38.97,3.6454,0.98431,0.97255,1
94.53,41.298,83.076,2.6697,0.75294,0.81961,1
54.038,23.673,-16.557,1.6836,0.75294,0.81961,1
18.76,8.2563,-11.791,5.2412,1,0.84314,0.68235
164.04,72.314,-59.957,2.4373,1,0.84314,0.68235
111.05,49.113,180.32,0.33379,0.66667,0.74902,1
140.55,62.294,197.94,0.40486,1,0.84314,0.68235
52.044,23.147,17.887,2.0701,0.98431,0.97255,1
171.88,76.867,204.23,0.16151,1,0.95686,0.9098
101.16,45.473,-14.506,3.1767,0.98431,0.97255,1
30.128,13.587,7.1104,2.895,0.98431,0.97255,1
80.571,36.409,-0.54031,2.3473,1,0.95686,0.9098
21.355,9.6857,-2.7796,5.7943,1,0.95686,0.9098
174.16,79.308,74.46,1.3976,0.75294,0.81961,1
24.764,11.296,72.584,3.9629,1,0.95686,0.9098
80.3,36.719,281.46,0.761,1,0.95686,0.9098
121.38,55.608,33.11,2.3877,0.75294,0.81961,1
100.01,45.911,143.08,2.2175,1,0.84314,0.68235
85.483,39.318,81.106,2.999,0.98431,0.97255,1
48.847,22.504,227.93,1.3521,0.75294,0.81961,1
156.35,72.201,-73.555,2.6077,1,0.95686,0.9098
46.056,21.316,-203.86,1.478,0.75294,0.81961,1
198.11,91.926,13.552,1.9996,1,0.95686,0.9098
142.49,66.495,17.599,2.9336,1,0.95686,0.9098
185.74,86.892,-140.81,0.92113,1,0.84314,0.68235
45.337,21.237,-119.29,2.9509,0.98431,0.97255,1
158.6,74.411,-287.54,1.0338,1,0.84314,0.68235
17.572,8.2623,-22.52,7.7936,1,0.84314,0.68235
212.64,100.14,-25.378,1.3917,1,0.95686,0.9098
27.616,13.034,-29.117,8.5137,0.39216,0.39216,0.39216
52.309,24.797,-35.904,4.5036,1,0.95686,0.9098
33.003,15.697,-7.3183,2.8931,0.98431,0.97255,1
61.542,29.334,2.2652,4.7107,1,0.95686,0.9098
147.8,70.538,-142.96,1.9738,0.75294,0.81961,1
41.981,20.079,-15.021,4.0035,1,0.95686,0.9098
14.491,6.9454,85.305,3.6473,1,0.95686,0.9098
85.215,40.918,17.085,2.3773,0.75294,0.81961,1
137.58,66.167,134.18,2.3398,1,0.84314,0.68235
53.042,25.574,94.662,1.774,0.98431,0.97255,1
130.12,63.308,2.2795,2.1174,1,0.95686,0.9098
207.18,101.72,-232.87,0.5015,1,0.95686,0.9098
162.35,79.828,-21.154,1.7679,0.98431,0.97255,1
27.433,13.518,11.182,3.7064,1,0.95686,0.9098
113.84,56.59,8.148,1.4643,0.75294,0.81961,1
111.15,55.397,-9.1825,2.6036,1,0.95686,0.9098
390.02,195.59,-17.835,0.24918,1,0.95686,0.9098
106.42,53.461,-53.059,2.524,1,0.84314,0.68235
81.21,40.902,-47.677,3.7528,0.98431,0.97255,1
69.72,35.213,35.419,4.0035,1,0.95686,0.9098
177.72,89.932,2.8237,1.3035,1,0.95686,0.9098
170.52,86.506,0.51806,1.3825,1,0.95686,0.9098
300.13,152.39,-192.17,0.8981,0.66667,0.74902,1
121.44,61.74,-103.25,0.16578,1,0.84314,0.68235
150.78,76.93,-254.69,0.82274,1,0.84314,0.68235
89.277,45.702,6.4601,0.89912,1,0.95686,0.9098
84.984,43.586,39.37,3.2294,1,0.95686,0.9098
137.65,70.678,-68.47,1.7579,0.98431,0.97255,1
128.7,66.353,-48.386,2.3112,0.98431,0.97255,1
60.539,31.267,75.4,0.97498,0.75294,0.81961,1
41.193,21.317,14.877,7.7319,0.39216,0.39216,0.39216
24.882,12.911,68.211,3.8213,0.98431,0.97255,1
136.16,71.029,78.363,1.9671,0.98431,0.97255,1
87.393,45.701,-193.2,0.7085,1,0.84314,0.68235
180.91,94.778,120.17,1.7066,0.98431,0.97255,1
42.374,22.272,-57.468,1.5707,0.75294,0.81961,1
334.49,177.05,15.771,0.22802,1,0.84314,0.68235
159.52,84.504,-73.551,2.3406,0.75294,0.81961,1
96.298,51.088,36.031,1.2901,1,0.84314,0.68235
120.03,63.793,-225.33,0.97892,1,0.84314,0.68235
194.47,103.78,-103,1.6592,0.75294,0.81961,1
