X,Y,Z,S,R,G,B
70.938,5.7406,-165.18,1.4654,1,0.84314,0.68235
14.214,1.1559,-17.159,10.637,1,0.73333,0.48235
38.936,3.1883,14.884,6.9038,1,0.84314,0.68235
87.712,7.2374,-103.51,3.2144,0.98431,0.97255,1
136.08,11.393,-3.9408,2.7026,1,0.95686,0.9098
280.47,23.634,-275.28,0.66417,0.98431,0.97255,1
20.397,1.7317,11.432,9.6896,1,0.73333,0.48235
22.134,1.8982,-38.403,8.0648,1,0.73333,0.48235
153.68,13.298,32.908,2.3604,0.75294,0.81961,1
184.05,16.056,-6.0084,0.76599,1,0.95686,0.9098
61.339,5.3818,0.40579,4.9329,0.98431,0.97255,1
87.463,7.7337,-229.48,1.578,1,0.84314,0.68235
96.741,8.7484,38.219,3.7268,0.98431,0.97255,1
151.23,13.869,43.52,2.647,0.98431,0.97255,1
77.57,7.2031,154.81,1.5059,0.98431,0.97255,1
27.653,2.6136,-10.06,10.108,1,0.84314,0.68235
44.45,4.2467,-61.484,4.0863,0.98431,0.97255,1
67.097,6.5079,239.45,1.4211,1,0.84314,0.68235
165.76,16.157,154.65,1.8773,0.98431,0.97255,1
3.6305,0.35655,-7.7797,4.5594,0.98431,0.97255,1
24.202,2.3895,-7.4636,9.6425,0.39216,0.39216,0.39216
72.173,7.2634,43.541,2.8831,1,0.84314,0.68235
94.127,9.5658,-290.81,0.87274,1,0.84314,0.68235
162.93,16.638,-11.786,2.7131,1,0.73333,0.48235
187.08,19.184,36.478,0.15835,0.75294,0.81961,1
122.64,12.988,94.355,2.9444,0.98431,0.97255,1
62.872,6.6947,155.11,0.42987,1,0.84314,0.68235
141.17,15.337,-112.49,2.0897,0.75294,0.81961,1
83.605,9.1423,65.146,2.3656,1,0.95686,0.9098
19.802,2.2214,-4.3117,4.8432,1,0.95686,0.9098
172.79,19.548,171.03,0.37392,0.75294,0.81961,1
165.95,18.904,-100.5,0.10059,0.66667,0.74902,1
118.66,13.664,-163.44,1.5786,0.75294,0.81961,1
31.734,3.6845,30.473,5.4553,1,0.95686,0.9098
95.728,11.17,16.334,3.9294,0.98431,0.97255,1
49.958,5.8716,-12.865,5.1433,1,0.95686,0.9098
113.48,13.43,140.57,2.5597,1,0.95686,0.9098
85.904,10.36,133.07,2.2567,0.98431,0.97255,1
204.03,24.794,75.094,1.1696,1,0.84314,0.68235
70.578,8.6443,-63.768,2.7297,1,0.95686,0.9098
244.36,30.101,200.41,0.83155,1,0.84314,0.68235
60.185,7.4443,18.531,3.8792,0.98431,0.97255,1
91.797,11.439,-75.608,1.5236,1,0.95686,0.9098
127.48,16.133,-67.489,1.0711,1,0.84314,0.68235
108.63,13.847,7.5143,3.4576,0.98431,0.97255,1
17.406,2.2479,-15.972,0.52347,1,0.84314,0.68235
207.04,26.861,333.79,0.35417,1,0.84314,0.68235
225.8,29.6,244.93,0.41836,1,0.84314,0.68235
408.31,53.963,73.726,0.20199,1,0.84314,0.68235
122.09,16.329,146.72,0.53835,0.66667,0.74902,1
218.52,29.369,10.838,0.46049,1,0.95686,0.9098
70.2,9.5514,-20.864,2.8581,0.98431,0.97255,1
109.38,15.066,-22.783,2.0896,1,0.73333,0.48235
57.447,7.975,56.785,0.63305,0.75294,0.81961,1
60.02,8.3696,-62.467,3.8916,1,0.95686,0.9098
61.242,8.6012,-12.287,2.8615,0.98431,0.97255,1
277.03,39.199,255.34,0.73802,0.75294,0.81961,1
114.28,16.441,195.76,1.2373,1,0.95686,0.9098
42.662,6.1878,-8.3926,6.1268,1,0.95686,0.9098
208.12,30.338,-258.61,1.2456,1,0.84314,0.68235
166.71,24.49,28.795,1.7158,1,0.84314,0.68235
139.88,20.598,-89.291,2.0335,1,0.84314,0.68235
66.282,9.8356,5.6976,2.3816,0.98431,0.97255,1
248.49,37.072,71.071,0.31599,1,0.84314,0.68235
303.07,45.457,-82.828,0.46155,1,0.84314,0.68235
188.95,28.453,83.022,2.1762,0.75294,0.81961,1
7.7811,1.1847,26.352,8.4331,0.39216,0.39216,0.39216
137.22,21.014,-157.69,1.118,1,0.84314,0.68235
63.092,9.7987,-12.727,4.082,1,0.95686,0.9098
130.15,20.383,136.07,1.0932,1,0.95686,0.9098
142.09,22.361,3.7926,3.0299,0.98431,0.97255,1
157.66,24.951,211.85,0.80171,1,0.84314,0.68235
58.585,9.3399,-75.906,3.771,0.98431,0.97255,1
3.8695,0.61877,9.3387,10.242,1,0.73333,0.48235
48.887,7.8465,26.546,4.9121,1,0.95686,0.9098
172.02,27.743,140.31,0.15154,0.98431,0.97255,1
70.495,11.409,-16.825,4.4325,1,0.95686,0.9098
426.69,70.098,-153.1,0.24228,1,0.84314,0.68235
45.242,7.4734,38.621,3.871,0.98431,0.97255,1
31.245,5.205,114.17,3.6217,0.98431,0.97255,1
178.06,29.774,10.472,1.1836,1,0.95686,0.9098
157.54,26.54,246.94,1.0874,0.75294,0.81961,1
88.639,15.009,-82.181,1.4517,0.75294,0.81961,1
31.166,5.3033,35.007,4.0117,0.98431,0.97255,1
59.296,10.149,11.84,4.2423,0.98431,0.97255,1
117.64,20.274,28.375,0.94579,1,0.84314,0.68235
61.452,10.625,-93.161,3.5118,0.98431,0.97255,1
166.61,29.026,-56.336,2.1048,0.98431,0.97255,1
91.553,16.034,19.486,3.4621,1,0.95686,0.9098
22.079,3.877,-18.641,5.1265,1,0.95686,0.9098
291.28,51.26,-77.786,1.1827,0.75294,0.81961,1
127.25,22.489,189.49,1.0974,0.66667,0.74902,1
40.472,7.1681,23.007,5.0047,0.98431,0.97255,1
34.059,6.0549,-5.7977,8.485,1,0.73333,0.48235
58.981,10.514,85.081,2.7736,0.75294,0.81961,1
117.89,21.103,186.6,0.88088,1,0.84314,0.68235
312.29,56.274,-185.67,0.98284,1,0.73333,0.48235
301.66,54.937,-60.31,0.45575,1,0.95686,0.9098
21.79,4.0395,258.12,0.88294,1,0.84314,0.68235
243.04,45.204,252.48,0.15893,1,0.84314,0.68235
57.343,10.728,336.27,1.0243,1,0.84314,0.68235
127.01,23.833,-111.9,2.6358,0.98431,0.97255,1
3.677,0.69534,40.149,4.0823,0.98431,0.97255,1
81.631,15.507,103.6,2.054,0.75294,0.81961,1
37.587,7.1903,-126.25,1.2683,0.75294,0.81961,1
155.63,29.832,-60.954,2.8106,0.98431,0.97255,1
189.27,36.493,190.5,0.69513,0.75294,0.81961,1
289.27,56.371,153.35,1.2128,1,0.95686,0.9098
163.18,31.959,195.19,0.71532,1,0.95686,0.9098
31.596,6.2078,6.0577,7.9229,1,0.84314,0.68235
45.014,8.9109,196.74,0.20303,1,0.84314,0.68235
148.12,29.409,-191.53,1.6239,1,0.95686,0.9098
88.812,17.736,153.53,0.78481,1,0.84314,0.68235
154.95,31.062,116.72,1.5436,0.75294,0.81961,1
25.615,5.1422,-11.525,3.8616,1,0.95686,0.9098
89.055,17.982,-226.99,1.3986,0.75294,0.81961,1
199.6,40.398,-217.03,1.4517,1,0.95686,0.9098
139.24,28.268,54.597,1.1378,1,0.84314,0.68235
302.3,62.045,164.38,0.17183,0.75294,0.81961,1
192,39.529,-4.4474,2.1479,1,0.95686,0.9098
84.11,17.384,101.75,2.0182,0.98431,0.97255,1
36.425,7.5874,31.989,3.576,0.98431,0.97255,1
231.32,48.325,49.995,1.235,1,0.84314,0.68235
35.344,7.4831,-63.242,1.6784,1,0.84314,0.68235
150.22,31.892,298.37,0.16108,0.75294,0.81961,1
273.93,58.304,-287.84,0.271,1,0.84314,0.68235
371.15,79.505,-356.65,0.076506,1,0.84314,0.68235
72.607,15.607,131.28,2.8976,0.98431,0.97255,1
69.893,15.065,84.89,2.9236,0.98431,0.97255,1
37.832,8.2024,17.143,7.8364,1,0.73333,0.48235
196.79,43.202,47.655,1.7497,1,0.95686,0.9098
25.603,5.66,-76.887,3.5813,0.98431,0.97255,1
162.56,36.224,-61.729,2.6825,0.98431,0.97255,1
26.145,5.8436,-36.491,2.871,0.98431,0.97255,1
182,40.843,142.52,1.157,1,0.84314,0.68235
30.292,6.8454,-7.1015,3.634,1,0.95686,0.9098
22.473,5.0986,85.932,0.89383,0.75294,0.81961,1
106.84,24.317,-64.968,3.3043,1,0.95686,0.9098
281.38,64.4,-136.94,1.2677,1,0.84314,0.68235
136.94,31.502,-16.174,2.8071,0.98431,0.97255,1
208.51,48.209,50.008,0.80006,1,0.84314,0.68235
101.33,23.494,-60.515,1.408,1,0.84314,0.68235
27.174,6.3081,-2.1594,5.3358,1,0.95686,0.9098
268.21,62.423,7.4232,1.5795,1,0.84314,0.68235
238.84,55.804,-48.4,1.0003,1,0.95686,0.9098
280.05,66.142,338.72,0.11091,0.66667,0.74902,1
136.06,32.275,170.82,2.0305,0.98431,0.97255,1
89.714,21.34,4.6782,3.9131,0.98431,0.97255,1
78.347,18.704,-13.258,3.1707,0.98431,0.97255,1
413.98,99.017,38.015,0.81608,1,0.84314,0.68235
181.1,43.447,30.237,1.7114,0.75294,0.81961,1
171.15,41.157,31.857,2.4971,1,0.84314,0.68235
75.639,18.292,0.51899,3.7045,1,0.95686,0.9098
247.11,60.082,93.642,0.73513,1,0.84314,0.68235
222.82,54.359,367.15,0.03806,1,0.84314,0.68235
29.465,7.2238,-41.411,4.0079,0.98431,0.97255,1
287.05,70.517,-115.81,1.0216,0.39216,0.39216,0.39216
46.98,11.603,46.829,3.6386,1,0.95686,0.9098
122.56,30.473,245.68,1.6335,0.75294,0.81961,1
52.016,12.984,182.02,2.4491,0.75294,0.81961,1
156.04,39.103,86.865,0.91994,1,0.84314,0.68235
23.062,5.8046,40.377,6.796,0.39216,0.39216,0.39216
69.275,17.482,-77.002,3.3632,0.98431,0.97255,1
46.729,11.817,-59.495,0.81972,0.98431,0.97255,1
90.278,22.943,13.167,3.2527,0.98431,0.97255,1
131.61,33.652,34.086,2.8385,0.98431,0.97255,1
20.068,5.1457,7.0285,7.5201,1,0.84314,0.68235
53.982,13.875,-112.76,3.4318,0.98431,0.97255,1
84.02,21.639,19.688,1.9538,0.98431,0.97255,1
190.89,49.365,219.41,0.141,1,0.84314,0.68235
60.014,15.547,-59.262,2.2235,0.98431,0.97255,1
63.984,16.609,78.833,3.1483,0.75294,0.81961,1
125.52,32.735,-215.92,1.944,1,0.95686,0.9098
31.899,8.3964,20.182,5.4231,1,0.95686,0.9098
91.416,24.079,-74.226,3.1506,1,0.95686,0.9098
91.553,24.257,-15.481,3.6693,0.98431,0.97255,1
22.053,5.8571,-83.132,2.9323,1,0.95686,0.9098
47.8,12.724,60.787,4.3593,0.98431,0.97255,1
175.64,46.859,192.2,0.57746,0.75294,0.81961,1
102.75,27.482,-131.6,2.3479,0.98431,0.97255,1
270.32,72.497,130.11,1.1027,0.98431,0.97255,1
53.238,14.299,-190.6,1.9522,0.98431,0.97255,1
146.73,39.514,82.708,1.1396,1,0.84314,0.68235
278.39,75.177,29.338,0.6191,1,0.95686,0.9098
40.835,11.055,96.996,1.9272,0.98431,0.97255,1
69.87,19.288,31.391,3.1022,0.98431,0.97255,1
41.882,11.581,0.70763,7.4296,1,0.84314,0.68235
466.56,129.21,352.41,0.0035824,1,0.84314,0.68235
62.534,17.371,-49.844,4.1054,1,0.95686,0.9098
192.52,53.734,85.487,1.3538,1,0.95686,0.9098
163.89,45.859,-53.034,2.0748,1,0.84314,0.68235
226.2,63.469,191.4,1.5326,0.75294,0.81961,1
143.5,40.397,37.037,0.5279,1,0.95686,0.9098
57.806,16.309,-55.383,3.9389,0.98431,0.97255,1
31.111,8.8428,54.217,0.61878,1,0.95686,0.9098
261.99,74.568,134.86,0.28598,1,0.73333,0.48235
73.637,20.976,-157.51,2.1632,0.98431,0.97255,1
65.625,18.84,29.571,0.041996,1,0.95686,0.9098
52.156,14.999,25.645,4.5784,0.98431,0.97255,1
211.39,61.086,168.27,0.97754,1,0.95686,0.9098
90.188,26.108,96.683,0.45202,1,0.84314,0.68235
184.95,53.712,-5.9378,0.13584,1,0.95686,0.9098
36.223,10.533,145.8,1.6008,0.75294,0.81961,1
129.72,37.885,-52.361,3.0842,0.98431,0.97255,1
220.19,64.41,-216.52,1.2353,1,0.95686,0.9098
249.99,73.247,-295.2,0.90417,0.75294,0.81961,1
215.13,63.267,65.63,0.99722,1,0.84314,0.68235
156.09,46.143,-39.56,2.8199,0.98431,0.97255,1
169.57,50.392,112.5,0.76259,0.75294,0.81961,1
73.528,21.993,248.14,1.8573,0.75294,0.81961,1
80.106,24.051,-6.525,3.6014,0.98431,0.97255,1
317.87,95.698,-151.65,1.0388,1,0.84314,0.68235
179.48,54.366,-227.7,0.211,1,0.84314,0.68235
127.96,38.884,-205.39,0.9633,1,0.84314,0.68235
70.643,21.52,9.5306,3.7504,0.98431,0.97255,1
126.14,38.459,-63.606,1.5121,0.98431,0.97255,1
355.94,108.79,62.197,0.47623,0.98431,0.97255,1
64.343,19.734,50.085,3.0614,1,0.84314,0.68235
83.661,25.754,153.83,1.8702,0.98431,0.97255,1
151.83,46.844,203.77,0.59855,0.75294,0.81961,1
175.64,54.35,-156.66,2.015,0.98431,0.97255,1
47.261,14.703,-51.642,3.6675,0.98431,0.97255,1
89.729,27.96,189.38,1.5643,0.98431,0.97255,1
101.01,31.574,4.6685,2.4749,0.98431,0.97255,1
76.235,23.884,119.92,0.9168,1,0.84314,0.68235
116.26,36.538,150.68,0.043249,0.75294,0.81961,1
2.4417,0.76966,7.7325,10.425,1,0.73333,0.48235
190.95,60.428,-410.35,0.39222,1,0.84314,0.68235
44.912,14.24,-35.913,4.6569,1,0.95686,0.9098
166.01,52.785,297.59,0.92199,1,0.84314,0.68235
92.815,29.662,-55.186,1.0343,1,0.95686,0.9098
355.64,114.25,164.51,0.54583,1,0.95686,0.9098
53.878,17.37,1.3508,2.295,0.98431,0.97255,1
99.473,32.23,-98.538,2.993,0.98431,0.97255,1
144.01,46.815,-68.289,2.868,0.98431,0.97255,1
66.73,21.726,81.316,2.8147,0.98431,0.97255,1
193.12,62.993,-574.92,0.024219,1,0.73333,0.48235
90.578,29.602,-12.841,3.5252,0.98431,0.97255,1
104.9,34.395,37.787,2.3649,1,0.95686,0.9098
70.542,23.242,-225.03,0.49656,1,0.84314,0.68235
110.75,36.684,-337.55,0.40579,1,0.95686,0.9098
88.343,29.34,-16.379,1.2124,1,0.84314,0.68235
125.27,41.713,-116.93,2.0579,1,0.84314,0.68235
97.298,32.456,230.06,0.25395,0.66667,0.74902,1
109.63,36.664,-41.135,3.5358,0.98431,0.97255,1
105.42,35.294,-21.581,1.5698,1,0.95686,0.9098
141.58,47.512,-54.532,2.7633,0.98431,0.97255,1
45.897,15.448,-12.341,6.0062,1,0.84314,0.68235
105.9,35.682,39.368,2.6017,0.98431,0.97255,1
142.26,48.041,64.456,1.8838,1,0.84314,0.68235
17.547,5.939,-22.867,6.4961,1,0.84314,0.68235
102.27,34.679,185.98,0.20726,0.75294,0.81961,1
71.629,24.354,15.464,2.7813,0.98431,0.97255,1
47.491,16.177,79.893,4.0165,1,0.95686,0.9098
15.493,5.2963,44.692,7.1921,1,0.84314,0.68235
18.07,6.1996,8.0918,6.8252,1,0.84314,0.68235
44.44,15.28,-8.105,2.318,0.98431,0.97255,1
130.64,45.018,263.6,1.1917,0.66667,0.74902,1
43.263,14.946,-85.621,2.5442,0.75294,0.81961,1
28.414,9.8377,12.135,5.0556,1,0.95686,0.9098
79.279,27.655,239.52,0.45748,0.75294,0.81961,1
92.652,32.409,12.968,3.7916,0.98431,0.97255,1
172.55,60.67,26.671,2.466,1,0.84314,0.68235
121.87,42.892,27.53,2.3355,0.98431,0.97255,1
86.436,30.484,38.734,2.5608,0.98431,0.97255,1
62.239,22.016,-106.88,3.2346,1,0.95686,0.9098
173.57,61.571,148.22,1.7317,0.75294,0.81961,1
214.96,76.476,-376.84,0.44013,1,0.95686,0.9098
306.59,109.29,117.43,0.52449,0.98431,0.97255,1
166.64,59.491,330.1,0.42256,0.66667,0.74902,1
77.408,27.713,385.02,0.27417,1,0.73333,0.48235
89.716,32.212,196.96,0.59958,0.75294,0.81961,1
35.192,12.647,-83.684,3.1691,0.98431,0.97255,1
176.59,63.585,99.243,1.4651,0.98431,0.97255,1
134.38,48.608,-28.772,2.3816,0.98431,0.97255,1
9.0988,3.2988,-73.997,4.4155,1,0.95686,0.9098
51.375,18.698,113.11,0.064565,0.66667,0.74902,1
253.48,92.477,-25.222,1.7151,0.75294,0.81961,1
228.01,83.327,-33.811,0.9633,1,0.95686,0.9098
352.99,129.31,-2.9216,0.49441,1,0.95686,0.9098
288.77,106.26,-24.173,1.4327,0.75294,0.81961,1
30.929,11.41,7.1769,4.2494,0.98431,0.97255,1
111.14,41.116,74.655,2.5485,0.66667,0.74902,1
112.42,41.77,-14.265,1.1802,1,0.95686,0.9098
123.64,46.054,142.46,0.62904,1,0.95686,0.9098
36.76,13.733,14.06,8.1102,0.39216,0.39216,0.39216
16.651,6.2381,-63.162,4.4449,1,0.95686,0.9098
282.34,106.06,-17.466,1.2391,1,0.95686,0.9098
247.26,93.172,-159.5,0.32273,1,0.95686,0.9098
27.494,10.397,8.704,7.3874,1,0.84314,0.68235
148.9,56.613,-192.67,0.3503,1,0.84314,0.68235
35.857,13.662,-3.3888,4.5715,0.98431,0.97255,1
78.064,29.902,14.351,3.3576,0.98431,0.97255,1
276.46,106.16,206.47,0.3924,1,0.84314,0.68235
245.98,94.753,-108.09,0.78654,1,0.95686,0.9098
128.35,49.602,174.49,0.82606,1,0.84314,0.68235
206.42,79.936,342.93,0.74583,0.75294,0.81961,1
185.62,72.042,-166.79,1.1973,0.98431,0.97255,1
85.675,33.318,-40.876,2.1369,0.75294,0.81961,1
243.21,94.883,-177.08,0.9053,0.75294,0.81961,1
81.584,31.87,197.94,1.9132,0.98431,0.97255,1
24.143,9.4579,-5.5573,5.4323,1,0.84314,0.68235
11.784,4.624,71.137,1.9757,0.98431,0.97255,1
19.105,7.511,9.7174,8.3187,1,0.84314,0.68235
52.524,20.706,21.731,3.1214,0.98431,0.97255,1
193.82,76.609,128.98,1.2633,0.75294,0.81961,1
64.991,25.763,13.079,3.6499,0.98431,0.97255,1
33.636,13.365,-66.88,4.3046,1,0.95686,0.9098
26.981,10.747,-8.0553,7.3544,1,0.84314,0.68235
387.5,154.67,100.61,0.35678,1,0.84314,0.68235
62.491,24.974,4.2511,0.98571,0.75294,0.81961,1
146.01,58.642,78.283,1.8456,0.75294,0.81961,1
67.1,27.011,177.39,0.26835,0.75294,0.81961,1
74.815,30.164,-34.263,2.5864,0.75294,0.81961,1
158.08,63.853,160.56,0.28214,1,0.84314,0.68235
65.918,26.682,230.84,0.075002,1,0.95686,0.9098
204.37,82.956,146.08,0.48746,0.75294,0.81961,1
81.206,32.993,-16.997,3.4461,1,0.95686,0.9098
73.356,29.874,-83.844,3.4501,0.98431,0.97255,1
132.58,54.147,-194.51,0.395,1,0.84314,0.68235
374.48,153.39,53.211,0.36583,1,0.95686,0.9098
124.01,50.908,0.24732,3.3337,1,0.84314,0.68235
96.931,39.858,-27.914,3.0137,0.98431,0.97255,1
48.077,19.836,38.669,4.3718,1,0.95686,0.9098
121.37,50.15,91.85,2.4259,1,0.95686,0.9098
99.131,41.029,101.85,1.2097,1,0.84314,0.68235
49.249,20.406,8.9433,4.5959,1,0.95686,0.9098
216.23,89.834,-274.78,0.1124,1,0.84314,0.68235
180.93,75.369,-91.831,0.92321,1,0.84314,0.68235
101.47,42.375,199.49,1.9123,0.98431,0.97255,1
146.66,61.56,32.467,0.8379,0.98431,0.97255,1
24.288,10.223,95.541,2.2095,0.75294,0.81961,1
250.86,105.89,46.573,0.87354,1,0.84314,0.68235
101.99,43.135,16.648,3.4743,0.98431,0.97255,1
175.86,74.496,215.81,1.4216,0.75294,0.81961,1
277.75,118.16,181.32,0.77659,1,0.95686,0.9098
98.268,41.847,-115.72,2.8139,0.98431,0.97255,1
226.77,96.673,-83.954,1.6017,1,0.84314,0.68235
152.32,65.08,82.81,1.342,1,0.84314,0.68235
90.924,38.93,-58.559,3.4876,0.98431,0.97255,1
32.632,14.016,-10.511,5.0768,1,0.95686,0.9098
62.482,26.892,91.837,3.54,0.98431,0.97255,1
141.99,61.21,-102.53,0.45794,1,0.84314,0.68235
212.03,91.49,-74.738,0.12449,1,0.73333,0.48235
44.674,19.345,33.141,2.4297,1,0.95686,0.9098
173.3,75.258,17.563,2.2291,0.75294,0.81961,1
65.496,28.582,-28.788,4.5264,1,0.95686,0.9098
54.867,24.014,6.8072,4.2192,0.98431,0.97255,1
228.66,100.25,333.58,0.12106,1,0.84314,0.68235
109.48,48.103,87.084,2.0097,1,0.95686,0.9098
99.293,43.686,-13.292,2.1971,0.75294,0.81961,1
132.78,58.553,15.915,2.6685,0.98431,0.97255,1
102.22,45.152,114.15,2.1729,0.98431,0.97255,1
204.38,90.383,94.71,1.5445,0.98431,0.97255,1
57.434,25.442,-106.64,1.6071,0.98431,0.97255,1
106.37,47.231,102.43,2.0978,0.75294,0.81961,1
283.99,126.3,-73.981,0.59772,1,0.84314,0.68235
139.49,62.124,-257.53,1.1587,1,0.95686,0.9098
129.58,57.889,26.066,1.4137,0.75294,0.81961,1
22.473,10.077,8.5635,3.2688,0.98431,0.97255,1
40.862,18.433,42.826,2.9382,0.98431,0.97255,1
101.16,45.695,262.39,1.5265,0.98431,0.97255,1
239.22,108.17,199.98,0.47721,1,0.95686,0.9098
246.52,111.68,186.98,0.49437,1,0.95686,0.9098
72.678,32.967,69.832,3.6126,1,0.95686,0.9098
131.14,59.655,17.593,2.4811,1,0.84314,0.68235
31.661,14.421,14.943,6.8888,0.39216,0.39216,0.39216
215.08,98.253,-192.45,0.81937,1,0.84314,0.68235
303.87,139.03,-184.43,0.45151,1,0.95686,0.9098
97.148,44.571,-3.7984,1.8941,0.98431,0.97255,1
89.715,41.21,108.7,1.6957,0.75294,0.81961,1
169.79,78.504,188.06,1.4317,0.98431,0.97255,1
19.517,9.0766,8.5758,5.9154,1,0.84314,0.68235
202.97,94.825,-147.27,1.7685,0.75294,0.81961,1
118.04,55.326,54.871,1.0171,0.75294,0.81961,1
60.708,28.573,-23.897,4.1368,1,0.95686,0.9098
130.93,61.7,59.505,2.8075,1,0.84314,0.68235
